sample	mean_matches	mean_mismatches
CV17-84_10	0.991607629427793	0.0083923705722071
CV17-84_11	0.986212534059945	0.0137874659400545
CV17-84_1	0.989700272479564	0.010299727520436
CV17-84_2	0.989264305177112	0.0107356948228883
CV17-84_3	0.987792915531335	0.0122070844686648
CV17-84_4	0.990190735694823	0.00980926430517715
CV17-84_5	0.983596730245232	0.0164032697547684
CV17-84_6	0.990299727520436	0.00970027247956406
CV17-84_7	0.985722070844687	0.0142779291553133
CV17-84_8	0.982942779291553	0.0170572207084468
CV17-84_9	0.98991825613079	0.0100817438692098
MEAN	0.987931632400297	0.0120683675997027
